DateTime,Link,Company,Fraud_Type,Impact_USD,Description,Country
2022-12-29,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202301030001&dtable=NewsLaw","BankTaiwan Securities Co., Ltd.",Internal control and compliance violations,"NT$480,000","Deficiencies in insider account handling, conflict checks, email controls, credit line consolidation, pricing, and subscription IP verification.",Taiwan
2022-12-27,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401250003&dtable=NewsLaw",Capital Futures Corp.,Leverage transaction valuation/control violation,"NT$240,000",Failed to maintain effective valuation and control mechanisms for derivatives as a leverage transaction merchant.,Taiwan
2022-12-21,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202212300002&dtable=NewsLaw","ROO HSING CO., LTD",Failure to file financial statements (Q2–Q3 2022),"NT$720,000",Failed to complete 2022 Q2 and Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2022-12-20,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202304100002&dtable=NewsLaw",Nan Shan Life; Cathay Life; Taiwan Life; Shin Kong Life; China Life,Late/omitted disclosure of material event,"NT$4,080,000",Five insurers failed to announce in time a business-model change for managing financial assets that materially affected shareholders’ equity.,Taiwan
2022-12-07,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202303060001&dtable=NewsLaw","Masterlink Securities Co., Ltd.",AML risk assessment deficiency,"NT$240,000","Did not properly assess and assign money-laundering/terrorism-financing risk levels for customers, undermining internal controls.",Taiwan
2022-11-30,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202212010001&dtable=NewsLaw","Sunfun Info Co., Ltd.",Loans/endorsements rules violation,"NT$240,000",Kept a loan outstanding longer than one year in breach of loaning of funds and endorsements/guarantees regulations.,Taiwan
2022-11-29,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202211300002&dtable=NewsLaw",CHUNG FU TEX-INTERNATIONAL CORPORATION,Failure to file financial statements (Q2–Q3 2022),"NT$720,000",Failed to complete 2022 Q2 and Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2022-11-29,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202211300001&dtable=NewsLaw",Taiwan Land Development Corporation,Failure to file financial statements (2021–Q2 2022),"NT$720,000",Failed to complete 2021 to Q2 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2022-11-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202301100002&dtable=NewsLaw","Roo Hsing Co., Ltd.; XX Chang",Late disclosure of remuneration committee appointment,"NT$240,000",Failed to announce within two days the appointment of a remuneration committee member as required.,Taiwan
2022-11-17,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202212120001&dtable=NewsLaw","BankTaiwan Securities Co., Ltd.",Customer data access and internal control deficiencies,"NT$240,000",Improper customer-data access by staff and inadequate approval/audit mechanisms breached internal control rules.,Taiwan
2022-11-15,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202211170001&dtable=NewsLaw","ROO HSING CO., LTD",Failure to file financial statements (Q2–Q3 2022),"NT$480,000",Failed to complete 2022 Q2–Q3 financial statements in accordance with Article 36 requirements.,Taiwan
2022-11-15,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202211170002&dtable=NewsLaw",Unitel High Technology Corporation,Failure to file financial statements (Q3 2022),"NT$240,000",Failed to complete the 2022 Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2022-10-27,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202402020001&dtable=NewsLaw","Hua Nan Futures Co., Ltd.",Futures margin and position control violations,"NT$240,000","Did not set open-position controls or collect full margins before accepting futures orders, contrary to internal rules.",Taiwan
2022-10-24,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202402010002&dtable=NewsLaw","President Futures Co., Ltd.",Futures margin and position control violations,"NT$240,000",Lacked controls on customer open positions and failed to collect full margins before accepting orders.,Taiwan
2022-10-24,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202402010001&dtable=NewsLaw",MasterLink Futures Corporation,Futures margin and position control violations,"NT$240,000",Did not configure open-position controls and failed to collect full margins prior to order acceptance.,Taiwan
2022-10-05,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202211020001&dtable=NewsLaw","Masterlink Securities Co., Ltd.; XX Huang",Discretionary trading and client funds/custody violations,"NT$240,000","Associate accepted discretionary orders and kept client funds/seals, and the firm failed key internal controls; six-month suspension ordered.",Taiwan
"2022-09-20","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202209210001&dtable=NewsLaw","Taiwan
 Land Development Corporation","Failure to file financial statements (2021–Q2 2022)","NT$720,000","Failed to complete 2021 to Q2 2022 financial statements as required by the Securities and Exchange Act.","Taiwan"
"2022-09-02","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202209050001&dtable=NewsLaw","LUMINOUS
 TOWN ELECTRIC CO., LTD.","Financial reporting deficiency (missing accounting manager signature)","NT$240,000","Filed 2022 Q2 financials without the required accounting manager’s signature or seal.","Taiwan"
"2022-08-23","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208230003&dtable=NewsLaw","Clean
 Air Technology Limited","Failure to file financial statements (Q2 2022)","NT$240,000","Failed to complete the 2022 Q2 financial statements in accordance with Article 36 requirements.","Taiwan"
"2022-08-18","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208230001&dtable=NewsLaw","Cayenne's
 Ark Mobile Co., Ltd.","Failure to file financial statements (Q2 2022)","NT$240,000","Failed to complete the 2022 Q2 financial statements as required by the Securities and Exchange Act.","Taiwan"
"2022-08-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208190001&dtable=NewsLaw","Sunmax
 Biotechnology Co., Ltd.; XX Lin","Corporate governance/board composition violation","NT$240,000","Failed to hold a by-election for an independent director at the latest AGM after a resignation caused noncompliance with the charter.","Taiwan"
"2022-08-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208180007&dtable=NewsLaw","AC&C
 INTERNATIONAL CO., LTD.","Failure to file financial statements (2021–Q2 2022)","NT$480,000","Failed to complete financial statements for 2021 through Q2 2022 as required by the Securities and Exchange Act.","Taiwan"
"2022-08-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208180006&dtable=NewsLaw","Billionton
 Systems Inc.","Failure to file financial statements (Q3 2021–Q2 2022)","NT$720,000","Failed to complete financial statements from Q3 2021 to Q2 2022 in accordance with Article 36 requirements.","Taiwan"
"2022-08-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208180005&dtable=NewsLaw","Taiwan
 Land Development Corporation","Failure to file financial statements (2021–Q2 2022)","NT$720,000","Failed to complete 2021 to Q2 2022 financial statements as required by the Securities and Exchange Act.","Taiwan"
"2022-08-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208180004&dtable=NewsLaw","CHUNG
 FU TEX-INTERNATIONAL CORPORATION","Failure to file financial statements (Q2 2022)","NT$480,000","Failed to complete the 2022 Q2 financial statements as required by the Securities and Exchange Act.","Taiwan"
"2022-08-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208180003&dtable=NewsLaw","ROO
 HSING CO., LTD","Failure to file financial statements (Q2 2022)","NT$240,000","Failed to complete the 2022 Q2 financial statements in accordance with Article 36 requirements.","Taiwan"
"2022-08-12","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208180002&dtable=NewsLaw","J-TEK
 INCORPORATION CO., LTD.","Reporting/filing violation (operations overview)","NT$240,000","Failed to file the June 2022 operations overview by the regulatory deadline under Article 36.","Taiwan"
"2022-08-05","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202212120002&dtable=NewsLaw","BONNY
 WORLDWIDE LIMITED","Financial reporting deficiency (missing accounting manager signature)","NT$240,000","Báo cáo tài chính Q1/2022 nộp thiếu chữ ký hoặc con dấu của kế toán trưởng theo quy định.","Taiwan"
"2022-08-05","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208180001&dtable=NewsLaw","Solar
 Applied Materials Technology Corporation; XX Ma","Corporate governance/board composition violation","NT$240,000","Không triệu tập ĐHĐCĐ bất thường để bầu bổ sung khi số ghế HĐQT khuyết vượt 1/3 theo điều lệ.","Taiwan"
"2022-08-02","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208090002&dtable=NewsLaw","KGI
 Securities Co., Ltd.","Serious internal control & corporate governance failures","NT$2,400,000","Vi phạm nguyên tắc quản trị và kiểm soát nội bộ nghiêm trọng ảnh hưởng hoạt động chứng khoán, bị phạt tiền và xử lý giảm lương/đình chỉ lãnh đạo.","Taiwan"
"2022-07-26","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207270001&dtable=NewsLaw","Taiwan
 Land Development Corporation","Failure to file financial statements (2021 & Q1 2022)","NT$480,000","Không hoàn thành báo cáo tài chính năm 2021 và Q1/2022 theo yêu cầu của luật chứng khoán.","Taiwan"
"2022-07-25","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208020002&dtable=NewsLaw","Horizon
 Securities Co., Ltd.","Internal control & AML deficiencies","NT$480,000","Thiếu sót trong kiểm soát giao dịch nội bộ, quản lý rủi ro và thủ tục AML/CTF theo quy định.","Taiwan"
"2022-07-18","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202402020002&dtable=NewsLaw","Mega
 Futures Co., Ltd.","Client funds handling violation","NT$120,000","Tự ý chuyển số dư ký quỹ trong nước sang tài khoản ký quỹ nước ngoài của khách hàng khi chưa có chỉ thị.","Taiwan"
"2022-07-18","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202208090001&dtable=NewsLaw","KGI
 Securities Co., Ltd.","Public offering/subscription control deficiencies","NT$240,000","Thiếu cơ chế kiểm soát phí, xác minh IP trùng và khả năng mượn danh trong đặt lệnh/đăng ký mua chứng khoán.","Taiwan"
"2022-07-15","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207180001&dtable=NewsLaw","GTIC
 Gold Refinery (S) Co.,Ltd","Failure to file financial statements (2020–2021 multiple quarters)","NT$720,000","Không hoàn thành báo cáo tài chính các quý Q2&Q4/2020 và Q2&Q4/2021 theo quy định.","Taiwan"
"2022-07-13","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207140001&dtable=NewsLaw","CONCRAFT
 HOLDING CO., LTD","Improper intercompany loan/guarantee practices","NT$240,000","Cho vay vượt thời hạn/quy định theo Quy chế cho vay/bảo lãnh của công ty đại chúng.","Taiwan"
"2022-07-05","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207060001&dtable=NewsLaw","Clean
 Air Technology Limited","Financial reporting deficiency (missing accounting manager signature)","NT$240,000","Báo cáo tài chính Q4/2021 nộp thiếu chữ ký hoặc con dấu của kế toán trưởng theo quy định.","Taiwan"
"2022-07-01","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207060002&dtable=NewsLaw","Zheng○○
 Certified Public Accountant","AML compliance violations","NT$100,000","Cản trở kiểm tra tại chỗ và không thực hiện quy trình xác minh danh tính khách hàng theo Luật PCTD.","Taiwan"
"2022-06-30","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207010002&dtable=NewsLaw","Billionton
 Systems Inc.","Failure to file financial statements (Q3 2021–Q1 2022)","NT$720,000","Không hoàn thành báo cáo tài chính từ Q3/2021 đến Q1/2022 theo yêu cầu pháp luật.","Taiwan"
"2022-06-29","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207260001&dtable=NewsLaw","Mega
 Securities Co., Ltd.","Information security & internal control deficiencies","NT$240,000","Thiếu sót bảo mật CNTT và kiểm soát nội bộ; bị yêu cầu tăng hệ số rủi ro vốn đến khi khắc phục.","Taiwan"
"2022-06-21","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202207060003&dtable=NewsLaw","Evertop
 Wire Cable Corporation; XX Wang","Company Act violation (shareholder proposal)","NT$240,000","Không đưa đề án hợp lệ của cổ đông vào chương trình họp ĐHĐCĐ 2022 theo Luật Doanh nghiệp.","Taiwan"
"2022-06-10","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202206170003&dtable=NewsLaw","NUUO
 Inc.; XX Yang","Late disclosure of material contract","NT$240,000","Chậm công bố giao dịch hợp đồng trọng yếu với bên liên quan ảnh hưởng quyền lợi cổ đông.","Taiwan"
"2022-06-10","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202206170002&dtable=NewsLaw","Taiwan
 Land Development Corporation; XX Chiu","Late disclosure of derivatives trading info","NT$240,000","Chậm công bố/khai báo thông tin giao dịch phái sinh các tháng 3–4/2022 theo quy định.","Taiwan"
"2022-06-09","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202206170001&dtable=NewsLaw","CJW
 International Co., Ltd.; XX Chang","Late disclosure of major asset transaction change","NT$240,000","Chậm công bố việc chấm dứt hợp đồng mua trung tâm thương mại tại Malaysia trong thời hạn 2 ngày.","Taiwan"
"2022-06-08","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202206140001&dtable=NewsLaw","Strength
 Master Fitness Tech Co.,Ltd","Internal control statement deficiency","NT$240,000","Không hoàn thành Tuyên bố hệ thống kiểm soát nội bộ năm 2021 theo yêu cầu pháp luật.","Taiwan"
"2022-06-07","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202206090001&dtable=NewsLaw","GTIC
 Gold Refinery (S) Co., Ltd.","Internal control statement not completed (2021)","NT$240,000","Failed to file the 2021 Internal Control System Statement under Art. 14-1(3) SEA.","Taiwan"
"2022-05-18","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205250001&dtable=NewsLaw","Strength
 Master Fitness Tech Co., Ltd.","Failure to file 2021 financial statements","NT$240,000","Did not complete 2021 financials as required by Art. 36(1) SEA.","Taiwan"
"2022-05-17","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205250003&dtable=NewsLaw","Taiwan
 Land Development Corporation","Failure to file 2021 & Q1 2022 financials","NT$240,000","Did not complete 2021 and Q1 2022 financial statements under Art. 36(1)(2) SEA.","Taiwan"
"2022-05-17","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205250002&dtable=NewsLaw","Billionton
 Systems Inc.","Failure to file Q3 2021–Q1 2022 financials","NT$480,000","Did not complete Q3 2021 to Q1 2022 financial statements under Art. 36(1)(2) SEA.","Taiwan"
"2022-05-11","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205170001&dtable=NewsLaw","LUXE
 ELECTRIC CO., LTD.","Internal control statement not completed (2021)","NT$240,000","Failed to file the 2021 Internal Control System Statement under Art. 14-1(3) SEA.","Taiwan"
"2022-05-04","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205110001&dtable=NewsLaw","Fubon
 Securities Co., Ltd. and its associated person","Futures misconduct & supervision failure","NT$120,000","Associated person used client account for futures trading; firm failed supervision. Associated person suspended 4 months.","Taiwan"
"2022-05-03","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205310001&dtable=NewsLaw","Concord
 Futures Co., Ltd. and associated person Chen","Discretionary trading for clients; internal control failures","NT$360,000","Associated person engaged/assisted in full discretionary trading; inadequate same-IP reviews. Chen suspended 6 months.","Taiwan"
"2022-05-03","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205240001&dtable=NewsLaw","Concord
 Futures Co., Ltd. and associated person Chen","Discretionary trading for clients; internal control failures","NT$360,000","Associated person engaged/assisted in full discretionary trading; inadequate same-IP reviews. Chen suspended 6 months.","Taiwan"
"2022-04-13","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401250002&dtable=NewsLaw","Capital
 Futures Corp.","Subsidiary oversight & disclosure failures","NT$360,000","Did not declare subsidiary business changes; ineffective internal control over subsidiaries.","Taiwan"
"2022-04-01","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205090002&dtable=NewsLaw","Billionton
 Systems Inc.","Failure to file 2021 financial statements","NT$240,000","Did not complete 2021 financials under Art. 36(1) SEA.","Taiwan"
"2022-04-01","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205090001&dtable=NewsLaw","LUXE
 ELECTRIC CO., LTD.","Failure to file 2021 financial statements","NT$240,000","Did not complete 2021 financials under Art. 36(1) SEA.","Taiwan"
"2022-04-01","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202204080002&dtable=NewsLaw","CHUNG
 FU TEX-INTERNATIONAL CORPORATION","Failure to file 2021 financial statements","NT$240,000","Did not complete 2021 financials under Art. 36(1) SEA.","Taiwan"
"2022-04-01","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202204080001&dtable=NewsLaw","Taiwan
 Land Development Corporation","Failure to file 2021 financial statements","NT$240,000","Did not complete 2021 financials under Art. 36(1) SEA.","Taiwan"
"2022-03-17","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202203230002&dtable=NewsLaw","Kinpo
 Electronics Inc.; responsible person XX Hsu","Board procedure & remuneration committee violations","NT$720,000","Conflict-of-interest handling and Remuneration Committee assessment deficiencies re transfer of treasury shares; failure to obtain shareholders’ approval for concurrent post.","Taiwan"
"2022-03-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202402050001&dtable=NewsLaw","Reliance
 Securities Co., Ltd.","Futures introducing broker internal control failures","NT$240,000","Sent client reports to employees’ emails; lacked same-IP order inspections.","Taiwan"
"2022-03-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202203230001&dtable=NewsLaw","Solar
 Applied Materials Technology Corporation; responsible person XX Ma","Board minutes deficiency (extraordinary motions)","NT$240,000","Minutes for motions to dismiss/elect chairman lacked required summary of directors’ comments.","Taiwan"
"2022-03-11","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202205090003&dtable=NewsLaw","Taiwan
 Cooperative Securities Co., Ltd.","Widespread internal control & brokerage compliance failures","NT$480,000","Issues included insider/related account controls, agents trading for clients, statement-to-employee emails, foreign bond price checks, and missing public subscription verifications.","Taiwan"
"2022-03-11","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202204110001&dtable=NewsLaw","Taiwan
 Cooperative Securities Co., Ltd.","Widespread internal control & brokerage compliance failures","NT$480,000","Issues included insider/related account controls, agents trading for clients, statement-to-employee emails, foreign bond price checks, and missing public subscription verifications.","Taiwan"
"2022-03-09","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202203170001&dtable=NewsLaw","KGI
 Securities Co., Ltd.","Internal control deficiencies","NT$240,000","Various failures (e.g., shared mainframe access without approval, inaccurate IP records, inadequate conflict checks); corrective action also required.","Taiwan"
"2022-03-08","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202203150001&dtable=NewsLaw","President
 Securities Corporation","Market-maker quotation obligation violations","NT$720,000","Failed continuous quotation/professional judgment duties and to adjust to market supply/demand.","Taiwan"
"2022-02-17","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202202230001&dtable=NewsLaw","Enterex
 International Limited; former responsible person Wong XX","Corporate governance (independent directors by-election not held)","NT$480,000","Did not hold by-election within 60 days after all independent directors resigned; repeat non-compliance after prior fine.","Taiwan"
"2022-02-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202202220001&dtable=NewsLaw","Taiwan
 Business Bank Co., Ltd.","Securities firm internal control violation","NT$240,000","TBB allowed staff to place orders and handle brokerage on behalf of others and lacked proper user authority controls.","Taiwan"
"2022-02-07","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202202100001&dtable=NewsLaw","HOTAI
 INSURANCE CO., LTD.","Late regulatory filing","NT$240,000","The company failed to file the December 2021 operations overview by the required deadline.","Taiwan"
"2022-01-18","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201240001&dtable=NewsLaw","Fubon
 Securities Co., Ltd.","Securities firm internal control & suitability failures","NT$480,000","Fubon failed to retain call records, confirm investor qualifications, and properly supervise associated persons and complaints.","Taiwan"
"2022-01-11","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201170001&dtable=NewsLaw","President
 Securities Co., Ltd.","Improper acceptance of agent orders","NT$240,000","An associated person accepted telephone trading orders from an agent without a customer power of attorney.","Taiwan"
"2022-01-06","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201210003&dtable=NewsLaw","BankTaiwan
 Securities Co., Ltd.","Information security & internal control deficiencies","NT$720,000","The firm had missing traffic cleaning on hosts, outdated IT documents, weak vendor change control, incomplete data checks, and delayed incident reporting.","Taiwan"
"2021-12-28","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201050001&dtable=NewsLaw","Enterex
 International Limited; XX Wong","Corporate governance/director vacancy violation","NT$480,000","The responsible person failed to convene a by-election after director vacancies exceeded one-third and did not remedy the breach by the deadline.","Taiwan"
"2021-12-27","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401250001&dtable=NewsLaw","JihSun
 Futures Co., Ltd.","Futures management/internal control deficiency","NT$120,000","The firm lacked adequate procedures and effective control for associated persons’ system access, breaching futures regulations.","Taiwan"
"2021-12-27","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201030010&dtable=NewsLaw","Hua
 Nan Futures Co., Ltd.","Conflict-of-interest controls failure","NT$240,000","The firm failed to check associated persons’ order records for conflicts of interest as required by internal controls.","Taiwan"
"2021-12-27","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201030009&dtable=NewsLaw","Enterex
 International Limited","Financial reporting noncompliance","NT$720,000","The company failed to complete financial statements from Q3 2020 to Q3 2021 as required by the Securities and Exchange Act.","Taiwan"
"2021-12-16","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202112230001&dtable=NewsLaw","SinoPac
 Futures Co., Ltd.","Futures management/internal control violations","NT$240,000","The firm failed to test an API before first use and shared real-time information without Taiwan Futures Exchange consent, breaching internal controls.","Taiwan"
"2021-12-14","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202112150001&dtable=NewsLaw","VHQ
 MEDIA HOLDINGS LTD","Financial reporting noncompliance","NT$240,000","The company failed to restate the Q3 2021 financial statements as required.","Taiwan"
"2021-12-09","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201240002&dtable=NewsLaw","Financial
 Supervisory Commission (FSC)","Regulatory amendment","NT$0","FSC amended rules requiring certain listed companies to upload shareholders’ meeting handbooks 30 days in advance.","Taiwan"
"2021-12-07","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202112130003&dtable=NewsLaw","GTIC
 Gold Refinery (S) Co.,Ltd","Financial reporting noncompliance","NT$720,000","The company failed to complete financial statements for Q2 2021 and Q2 & Q4 2020 as required by the Securities and Exchange Act.","Taiwan"
"2021-12-03","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202204070001&dtable=NewsLaw","Inclusion
 Securities Investment Consultant Co., Ltd.","Unapproved business activity","NT$600,000","The company promoted other industries’ products for remuneration without approval, violating the SITC Act.","Taiwan"
"2021-12-01","https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202201190001&dtable=NewsLaw","Masterlink
 Futures Co., Ltd.","Futures management/internal control violation","NT$120,000","The firm failed to offset a trader’s position at the agency threshold and had lax internal audits, breaching futures rules.","Taiwan"
